CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.01;Receitas;234206339.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.01;Receitas;246816259.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.01.01;Intermediação Financeira;253231536.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.01.01;Intermediação Financeira;278362644.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.01.02;Prestação de Serviços;21065636.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.01.02;Prestação de Serviços;21277678.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.01.03;Provisão/Reversão de Perdas Esperadas ao Risco de Crédito;-32438865.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.01.03;Provisão/Reversão de Perdas Esperadas ao Risco de Crédito;-41731414.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.01.04;Outras;-7651968.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.01.04;Outras;-11092649.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.02;Despesas de Intermediação Financeira;-167356632.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.02;Despesas de Intermediação Financeira;-180381996.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03;Insumos Adquiridos de Terceiros;-8339955.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03;Insumos Adquiridos de Terceiros;-8767155.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.01;Materiais, Energia e Outros;-492511.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.01;Materiais, Energia e Outros;-513606.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.02;Serviços de Terceiros;-993918.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.02;Serviços de Terceiros;-937849.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.03;Perda/Recuperação de Valores Ativos;0.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.03;Perda/Recuperação de Valores Ativos;0.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.04;Outros;-6853526.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.04;Outros;-7315700.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.04.01;Comunicações;-470676.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.04.01;Comunicações;-479197.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.04.02;Processamento de Dados;-1614104.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.04.02;Processamento de Dados;-1786409.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.04.03;Transporte;-76973.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.04.03;Transporte;-91717.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.04.04;Serviços de Vigilância e Segurança;-1300596.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.04.04;Serviços de Vigilância e Segurança;-1371043.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.04.05;Serviços do Sistema Financeiro;-623860.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.04.05;Serviços do Sistema Financeiro;-492383.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.04.06;Propaganda e Publicidade;-474695.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.04.06;Propaganda e Publicidade;-527927.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.04.07;Manutenção e Conservação de Bens;-1157306.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.04.07;Manutenção e Conservação de Bens;-1221887.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.04.08;Outras;-1265068.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.04.08;Outras;-1563920.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.03.04.09;Perdas por redução ao valor recuperável;129752.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.03.04.09;Perdas por redução ao valor recuperável;218783.0000000000;N
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.04;Valor Adicionado Bruto;58509752.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.04;Valor Adicionado Bruto;57667108.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.05;Retenções;-3928666.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.05;Retenções;-3867747.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.05.01;Depreciação, Amortização e Exaustão;-3928666.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.05.01;Depreciação, Amortização e Exaustão;-3867747.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.05.02;Outras;0.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.05.02;Outras;0.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.06;Valor Adicionado Líquido Produzido;54581086.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.06;Valor Adicionado Líquido Produzido;53799361.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.07;Vlr Adicionado Recebido em Transferência;16886198.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.07;Vlr Adicionado Recebido em Transferência;17764476.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.07.01;Resultado de Equivalência Patrimonial;16886198.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.07.01;Resultado de Equivalência Patrimonial;17764476.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;7.07.02;Outros;0.0000000000;S
00.000.000/0001-91;2024-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;7.07.02;Outros;0.0000000000;S
